location,Ho Chi Minh City,Ho Chi Minh City,Ho Chi Minh City,Ho Chi Minh City
lat,10.66656,10.66656,10.66656,10.66656
lon,106.40625,106.40625,106.40625,106.40625
asl,1.340,1.340,1.340,1.340
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Temperature,Precipitation,Wind Speed,Wind Direction
20200613T1000,29.873207,1.0,10.17913,227.1211
20200613T1100,29.693207,0.5,10.362241,223.95837
20200613T1200,29.493208,0.9,9.824347,229.39871
20200613T1300,29.263206,1.3,9.653095,230.59933
20200613T1400,28.983208,1.4,9.236053,236.7683
20200613T1500,28.853207,1.0,8.360887,239.34933
20200613T1600,28.673206,0.9,7.038205,240.52411
20200613T1700,29.003208,0.2,6.8075495,239.42078
20200613T1800,28.353207,0.0,3.9603205,250.34618
20200613T1900,27.973207,0.0,1.6204481,260.5377
20200613T2000,27.443207,0.0,5.6637416,228.81409
20200613T2100,26.853207,0.0,1.4346079,248.1986
20200613T2200,26.333208,0.0,1.7870656,116.56505
20200613T2300,25.873207,0.0,3.996,143.1301
20200614T0000,25.713207,0.0,4.3038235,158.1986
20200614T0100,25.573208,0.0,3.7105224,158.9625
20200614T0200,25.493208,0.0,3.2518265,145.00798
20200614T0300,25.373207,0.0,4.336678,137.48955
20200614T0400,25.423206,0.0,4.713097,137.2906
20200614T0500,25.453207,0.0,4.743117,141.84277
20200614T0600,26.073208,0.0,5.328,143.1301
20200614T0700,27.433207,0.0,7.421045,158.9625
20200614T0800,28.233208,0.3,6.2191706,223.2643
20200614T0900,30.203207,0.3,9.049762,222.61406
20200614T1000,31.593206,0.1,12.047054,215.09583
20200614T1100,31.053207,0.6,11.697356,210.06859
20200614T1200,30.843206,0.0,11.5784445,203.0255
20200614T1300,30.433207,0.0,11.636527,195.9454
20200614T1400,29.793207,0.0,11.91377,190.30484
20200614T1500,29.703207,0.0,12.061772,186.3402
20200614T1600,29.773207,0.0,10.935387,182.79271
20200614T1700,29.043207,0.8,9.594099,178.40886
20200614T1800,28.743208,0.0,7.53493,171.8699
20200614T1900,27.773207,0.0,5.986595,159.14554
20200614T2000,27.563208,0.0,5.0264254,147.99461
20200614T2100,27.483208,0.0,3.9603205,137.7263
20200614T2200,27.113207,0.0,3.7862556,129.2894
20200614T2300,26.743208,0.0,4.161301,129.80557
